,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME
1983-02-01,13.84,1.9,12.03,0,8.996089083087831,430.821819737498,0.0,0.0375435124574031,0.0,0,1,6.082689668876309,1,142.96,142.96,145.29,145.29,10.54277286,13.56,1.81,1,0,0.0,20.2382858993505,0.04822777599999999,8.63,8.16,0.0184108848125776,10.8,1222.0,2.622,10.782,120.99,-0.099869813,46.0,39.1,42.8,54000.0,6.45046628,32580.0
1983-02-02,13.96,1.9,12.03,0,9.014137397905632,430.821819737498,0.0,0.0375435124574031,0.0,0,1,6.095339314371259,0,143.23,141.9,143.52,142.95,10.56268437,13.56,1.93,0,0,0.0,20.2768976495579,0.048135754,8.9,8.16,0.0116910150380179,10.8,1222.0,2.722,10.882,122.28,-0.099869813,46.0,39.1,42.8,33720.0,10.56028132,49140.0
1983-02-03,13.96,1.9,12.08,0,9.08002508602838,430.821819737498,0.0,0.0375435124574031,0.0,0,1,6.140334162185679,0,144.26,143.25,144.43,143.25,10.63864307,13.56,1.88,0,0,0.0,20.423105369801103,0.047790695,8.54,8.15,0.021606968102158,10.8,1222.0,2.782,10.932,121.05,-0.099869813,46.0,39.1,42.8,32520.0,6.256117187,44280.0
1983-02-04,13.96,1.9,12.12,0,9.19943441756383,430.821819737498,0.0,0.0375435124574031,0.0,0,1,6.2215172268598495,0,146.14,144.14,146.14,144.26,10.77728614,13.56,1.84,0,0,0.0,20.689656936869103,0.04717454,8.46,8.25,0.00953931383609267,10.4,1222.0,2.742,10.992,121.42,-0.099869813,46.0,39.1,42.8,36720.0,5.846765688,54000.0
1983-02-07,13.96,1.9,12.11,0,9.25024792095939,430.821819737498,0.0,0.0375435124574031,0.0,0,1,6.256311643136,0,146.93,146.14,147.42,146.14,10.83554572,13.56,1.85,0,0,0.0,20.801900019992896,0.046919546,8.56,8.23,0.0128457200196617,10.4,1222.0,2.7319999999999998,10.962,120.38,-0.099869813,50.3,43.7,46.0,32520.0,6.3297620320000005,41640.0
1983-02-08,13.96,1.9,12.1,0,9.173884763009829,430.821819737498,0.0,0.0375435124574031,0.0,0,1,6.205100480597429,0,145.7,145.52,147.21,146.93,10.74483776,13.56,1.86,0,1,0.0,20.628156646979,0.047314279,8.44,8.29,0.0170729674607168,10.4,1222.0,2.702,10.992,120.14,-0.099869813,50.3,43.7,46.0,52560.0,6.97139911,33540.0
1983-02-09,14.01,1.9,12.14,0,9.13087780576043,430.821819737498,0.0,0.0375435124574031,0.0,0,1,6.176451466878281,0,145.0,144.09,145.83,145.7,10.69321534,13.56,1.87,0,0,0.0,20.529445406498603,0.047541324,8.58,8.28,0.0159991371784801,10.4,1222.0,2.722,11.002,119.72,-0.099869813,50.3,43.7,46.0,46920.0,6.819661231,33780.0
1983-02-10,14.01,1.9,12.1,0,9.28939251848885,430.821819737498,0.0,0.0375435124574031,0.0,0,1,6.28410495380337,0,147.5,145.04,147.75,145.04,10.87758112,13.56,1.91,0,0,0.0,20.883802943731002,0.046733925,8.64,8.17,-0.00103216736729463,10.4,1222.0,2.662,10.832,118.99,-0.099869813,50.3,43.7,46.0,32580.0,7.77043444,50340.0
1983-02-11,14.01,1.9,12.09,0,9.298665906104869,430.821819737498,0.0,0.0375435124574031,0.0,0,1,6.2908066470605,0,147.63,147.18,148.81,147.51,10.88716814,13.56,1.92,0,0,0.0,20.9026112009358,0.046691159,8.53,8.14,0.0018681878527012398,10.4,1222.0,2.662,10.802,118.85,-0.099869813,50.3,43.7,46.0,49860.0,8.68608547,34440.0
1983-02-14,14.01,1.9,12.06,0,9.38101321570585,430.821819737498,0.0,0.0343604858972819,0.0,0,1,6.3469394756334605,0,148.92,147.4,149.14,147.71,10.98230088,13.56,1.95,0,0,-0.00254642124809692,21.08566546813,0.046285104,8.49,8.24,-0.0240060061710117,10.4,1222.0,2.562,10.802,119.09,-0.099869813,50.3,43.7,46.0,35040.0,5.565249887,51300.0
1983-02-15,14.01,1.9,12.1,0,9.34304697687731,430.821819737498,0.0,0.0343604858972819,0.0,0,1,6.3216787922239,0,148.3,148.13,149.41,148.94,10.93657817,13.56,1.91,0,0,-0.0019098159360726899,20.998283859736897,0.046477004,8.6,8.25,-0.0108725056424352,10.4,1222.0,2.592,10.842,118.85,-0.099869813,50.3,43.7,46.0,52500.0,5.772109345,47280.0
