,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX,PTB,IC,LOAN,BER,NYSEADV,PUC,PCR,sentiment2,sentiment3,sentiment1,Hulbert.sentiment,TYVIX
2003-01-02,7.30999994,5.7,6.23,0,24.601071857979104,847.8907985595689,0.012959588999999999,0.0217218231468355,1.145646867,0,1,66.318159895243,1,909.03,879.82,909.03,879.82,33.2978022,27.3,1.07999994,1,0,0.0,32.3805825484813,0.017650298000000002,1.3,1.19,0.0186946243132235,6.0,1697.0,2.8307,4.0305,102.98,-0.022452554,52.1,58.3,49.0,30660.0,15.62744517,54000.0,1738.0,3.88,0.0360229707379329,25.39,2.8688,56.1185,20.0,1.6299,2427.0,324.67,0.62,0.014745,-0.009183,-0.044992000000000004,0.252,9.06
2003-01-03,7.44000006,5.7,6.23,0,24.594287001928897,847.8907985595689,0.012959588999999999,0.0217218231468355,1.112819019,0,1,66.522057470014,0,908.59,903.07,911.25,909.03,33.24515185,27.33,1.21000006,0,0,0.0,32.3651580171909,0.017641268,1.12,1.192,0.0183159178833635,6.0,1697.0,2.8069,4.0169,102.47,-0.022452554,52.1,58.3,49.0,50880.0,16.79052411,33300.0,1739.0,3.88,0.032855296698012994,24.68,2.8675,55.7523,20.0,1.6167,1609.0,357.74,0.7,0.013588,-0.013969999999999998,-0.070363,0.28300000000000003,8.69
2003-01-06,7.44000006,5.7,6.23,0,25.152264420763302,847.8907985595689,0.012959588999999999,0.0217218231468355,1.252739957,0,1,67.69447762758,0,929.01,908.59,931.77,908.59,33.99231614,27.33,1.21000006,0,0,0.0,33.092548440647604,0.017254755,1.22,1.182,0.000524130193739679,6.0,1697.0,2.8622,4.0518,101.97,-0.022452554,52.1,58.3,49.0,30660.0,11.86457178,52320.0,1742.0,3.88,0.0356560648155304,24.91,2.9324,55.6256,20.0,1.6213,2354.0,166.02,0.48,0.014846000000000002,-0.014057,-0.054585,0.314,8.71
2003-01-07,7.46999979,5.7,6.22,0,24.992852598659702,847.8907985595689,0.012959588999999999,0.0217218231468355,1.179862545,0,1,67.526992050515,0,922.93,919.93,930.81,929.01,33.76984998,27.33,1.24999979,0,0,0.0,32.8760150746317,0.017406683,1.2,1.172,0.0062214160304769105,6.0,1697.0,2.8155,4.0053,102.57,-0.022498009,52.1,58.3,49.0,35880.0,16.17063002,47160.0,1746.0,3.88,0.0364974189897726,25.13,2.9136,54.8428,20.0,1.5676,1209.0,180.02,0.51,0.013321000000000001,-0.010847,-0.037504,0.28300000000000003,8.15
2003-01-08,7.42999983,5.7,6.18,0,24.645938399825603,847.8907985595689,0.012959588999999999,0.0217218231468355,1.0995645040000002,0,1,66.55118663125201,0,909.93,908.32,922.93,922.93,33.29418222,27.33,1.24999983,0,0,0.0,32.4131453267839,0.017645006,1.29,1.167,0.0107620356813192,6.0,1697.0,2.8373,4.0169,101.87,-0.022498009,58.7,56.9,51.6,53400.0,14.48630627,30660.0,1749.0,3.88,0.0398940918069476,25.53,2.8726,55.1393,20.0,1.703,1238.0,204.91,0.77,0.013316,-0.013553,-0.050651999999999996,0.28300000000000003,7.85
2003-01-09,7.349999900000001,5.7,6.3,0,25.1292199450072,847.8907985595689,0.012959588999999999,0.0217218231468355,1.065256679,1,1,67.585245275516,0,927.58,909.93,928.31,909.93,33.93999268,27.33,1.0499999,0,0,0.0,33.0418785161401,0.017290983,1.29,1.177,-0.00877835171943875,6.0,1697.0,2.9893,4.178999999999999,101.94,-0.022498009,58.7,56.9,51.6,30660.0,11.64829038,53280.0,1758.0,3.88,0.0342954727017896,24.25,2.9284,54.3561,20.0,1.7866,2244.0,115.78,0.67,0.012534,-0.013078999999999999,-0.053239,0.28300000000000003,8.19
2003-01-10,7.48000002,5.7,6.28,0,25.134168868334303,847.8907985595689,0.012959588999999999,0.0217218231468355,1.0390195759999998,0,1,67.76729798193699,0,927.57,917.66,932.89,927.58,33.93962678,27.33,1.20000002,0,0,0.0,33.041554411758106,0.017268593999999998,1.25,1.172,-0.0263594793025238,6.0,1697.0,2.9424,4.132,101.23,-0.022498009,58.7,56.9,51.6,31320.0,15.77231921,36120.0,1761.0,3.88,0.0338185846854602,24.32,2.9277,54.2441,20.0,1.7526,1568.0,148.58,0.58,0.015104,-0.013985,-0.060625,0.408,8.0
2003-01-13,7.46999979,5.7,6.26,0,25.1038825307068,847.8907985595689,0.012959588999999999,0.0217218231468355,0.956968787,0,1,67.745452385378,0,926.26,922.05,935.05,927.57,33.89169411,27.33,1.20999979,0,0,0.0,32.994934687167,0.017296914,1.26,1.172,-0.0417137781025397,6.0,1697.0,2.9408,4.1202,101.47,-0.022498009,58.7,56.9,51.6,35460.0,12.12275735,31020.0,1760.0,3.88,0.0367321674444843,24.9,2.9236,54.2572,20.0,1.7804,1559.0,106.07,0.59,0.014782,-0.010858,-0.057309000000000006,0.418,8.06
2003-01-14,7.44000006,5.7,6.23,1,25.255474383407602,847.8907985595689,0.012959588999999999,0.0217218231468355,1.0322430679999999,0,1,67.963917817716,0,931.66,921.72,931.66,926.26,34.08927918,27.33,1.21000006,0,0,0.0,33.187270391585805,0.01719666,1.24,1.172,-0.0571083368919686,6.0,1697.0,2.8874,4.0772,101.21,-0.022498009,58.7,56.9,51.6,31560.0,10.78490243,54000.0,1753.0,3.88,0.0356816442334135,24.57,2.9411,54.4264,20.0,1.7643,1869.0,142.0,0.56,0.013775,-0.013768,-0.057923,0.48100000000000004,7.79
2003-01-15,7.40999985,5.7,6.22,0,24.8552502938999,847.8907985595689,0.012959588999999999,0.0234124406247425,1.038209173,0,1,67.28668174982799,0,918.22,916.7,932.59,931.66,33.60980966,27.32,1.18999985,0,0,0.0013524939823256,32.654589805658,0.017606706,1.3,1.167,-0.0409872630051366,6.0,1697.0,2.8801,4.0597,101.34,-0.022498009,58.7,56.9,51.6,39960.0,11.30310684,30840.0,1748.0,3.88,0.0409440250501407,25.51,2.8992,54.6409,20.0,1.7487,1182.0,153.47,0.75,0.012962000000000001,-0.013863999999999998,-0.054661,0.48100000000000004,7.71
